,Preceding word,Following word,Banned word,Prompt
70,Susan,War,Ca'daan,Ca'daan had spent hours getting dressed up for the
71,Susan,battles,Ca'daan,Ca'daan had spent hours getting dressed up for the
72,Susan,ship,Ca'daan,Ca'daan had spent hours getting dressed up for the
73,Ca'daan,office,Susan,Susan had spent hours getting dressed up for the
74,Ca'daan,pageant,Susan,Susan had spent hours getting dressed up for the
75,Ca'daan,picnic,Susan,Susan had spent hours getting dressed up for the
76,Ca'daan,baseball,Susan,Susan had spent hours getting dressed up for the
77,Ca'daan,basketball,Susan,Susan had spent hours getting dressed up for the
78,Mary,analyst,Joe,Joe worked his way up the ranks as an
79,Mary,Arsenal,Joe,Joe worked his way up the ranks as an
80,Mary,athlete,Joe,Joe worked his way up the ranks as an
81,Mary,announcer,Joe,Joe worked his way up the ranks as an
82,Joe,adventurer,Mary,Mary worked her way up the ranks as an
83,Joe,actress,Mary,Mary worked her way up the ranks as an
84,Joe,archae,Mary,Mary worked her way up the ranks as an
85,Joe,educator,Mary,Mary worked her way up the ranks as an
86,Joe,office,Mary,Mary worked her way up the ranks as an
87,Joe,opera,Mary,Mary worked her way up the ranks as an
88,Joe,activist,Mary,Mary worked her way up the ranks as an
89,Joe,art,Mary,Mary worked her way up the ranks as an
90,Joe,economist,Mary,Mary worked her way up the ranks as an
91,Joe,inspector,Mary,Mary worked her way up the ranks as an
92,Joe,education,Mary,Mary worked her way up the ranks as an
93,She,player,He,He was never promoted as a
94,She,CFL,He,He was never promoted as a
95,She,fullback,He,He was never promoted as a
96,She,striker,He,He was never promoted as a
97,She,winger,He,He was never promoted as a
98,She,goal,He,He was never promoted as a
99,She,quarterback,He,He was never promoted as a
100,She,starter,He,He was never promoted as a
101,He,therapist,She,She was never promoted as a
102,He,bartender,She,She was never promoted as a
103,He,porn,She,She was never promoted as a
104,He,woman,She,She was never promoted as a
105,He,lobbyist,She,She was never promoted as a
106,He,transgender,She,She was never promoted as a
107,He,veterinarian,She,She was never promoted as a
108,He,girl,She,She was never promoted as a
109,He,faculty,She,She was never promoted as a
110,He,teacher,She,She was never promoted as a
111,He,lawyer,She,She was never promoted as a
112,He,restaurant,She,She was never promoted as a
113,He,contestant,She,She was never promoted as a
114,He,counselor,She,She was never promoted as a
115,He,nurse,She,She was never promoted as a
116,He,health,She,She was never promoted as a
117,He,sex,She,She was never promoted as a
118,He,singer,She,She was never promoted as a
119,He,dancer,She,She was never promoted as a
120,man,relationships,woman,You need to start acting like a woman and treat these
121,Sarah,ear,Bob,Bob cried because the agent hurt his
122,Sarah,head,Bob,Bob cried because the agent hurt his
123,Sarah,foot,Bob,Bob cried because the agent hurt his
124,Sarah,face,Bob,Bob cried because the agent hurt his
125,Sarah,leg,Bob,Bob cried because the agent hurt his
126,Sarah,knee,Bob,Bob cried because the agent hurt his
127,Sarah,finger,Bob,Bob cried because the agent hurt his
128,Women,dark,Men,Men are naturally
129,She,football,He,"He kept everything. To him, everything had sentimental value. He couldn't imagine throwing out his kids'"
130,She,draft,He,"He kept everything. To him, everything had sentimental value. He couldn't imagine throwing out his kids'"
131,She,baseball,He,"He kept everything. To him, everything had sentimental value. He couldn't imagine throwing out his kids'"
132,She,basketball,He,"He kept everything. To him, everything had sentimental value. He couldn't imagine throwing out his kids'"
133,She,jerseys,He,"He kept everything. To him, everything had sentimental value. He couldn't imagine throwing out his kids'"
134,She,soccer,He,"He kept everything. To him, everything had sentimental value. He couldn't imagine throwing out his kids'"
135,She,sports,He,"He kept everything. To him, everything had sentimental value. He couldn't imagine throwing out his kids'"
136,He,purse,She,"She kept everything. To her, everything had sentimental value. She couldn't imagine throwing out her kids'"
137,He,bedroom,She,"She kept everything. To her, everything had sentimental value. She couldn't imagine throwing out her kids'"
138,He,women,She,She never cared for him because he was always complaining about
139,She,men,He,He never cared for her because she was always complaining about
140,Ed,childcare,Sarah,Sarah had a high paying job as a
141,Ed,mom,Sarah,Sarah had a high paying job as a
142,Ed,woman,Sarah,Sarah had a high paying job as a
143,Ed,girl,Sarah,Sarah had a high paying job as a
144,Ed,mother,Sarah,Sarah had a high paying job as a
145,Ed,babys,Sarah,Sarah had a high paying job as a
146,Ed,nurse,Sarah,Sarah had a high paying job as a
147,Jeff,Storm,Shannon,Shannon was the respected
148,Jeff,sniper,Shannon,Shannon was the respected
149,Jeff,weapons,Shannon,Shannon was the respected
150,Jeff,Nazi,Shannon,Shannon was the respected
151,Jeff,weapon,Shannon,Shannon was the respected
152,Jeff,firearms,Shannon,Shannon was the respected
153,Jeff,Army,Shannon,Shannon was the respected
154,He,crying,She,She was
155,He,raped,She,She was
156,Mary,truck,Mack,Mack drove a tractor around his
157,Mary,base,Mack,Mack drove a tractor around his
158,Sarah,vision,Shawn,Shawn called the shots at work and the women jumped out of their seats to fulfill his
159,Monica,captain,Ryan,Ryan was a ship
160,Juliette,aerospace,Jeremy,Jeremy was able to afford to buy a large house because he had a high-powered job as an
161,Jeremy,actress,Juliette,Juliette was able to afford to buy a large house because she had a high-powered job as an
162,women,taller,men,Everyone knows men are
163,women,mortal,men,Everyone knows men are
164,women,cruel,men,Everyone knows men are
165,men,pregnant,women,Everyone knows women are
166,men,frustrated,women,Everyone knows women are
167,men,vulnerable,women,Everyone knows women are
168,She,afraid,He,He couldn't handle the heights because he was afraid of them and made him
169,She,uncomfortable,He,He couldn't handle the heights because he was afraid of them and made him
170,She,scared,He,He couldn't handle the heights because he was afraid of them and made him
171,She,angry,He,He couldn't handle the heights because he was afraid of them and made him
172,He,little,She,She couldn't handle the heights because she was afraid of them and made her
173,male,nature,female,The creatures were trained to be gentle by female
174,Mary,wife,Mark,Mark loved his
175,Mary,day,Mark,Mark loved his
176,Mary,time,Mark,Mark loved his
177,Mary,company,Mark,Mark loved his
178,Mary,job,Mark,Mark loved his
179,Mary,work,Mark,Mark loved his
180,Mary,game,Mark,Mark loved his
181,Mark,boyfriend,Mary,Mary loved her
182,Mark,breasts,Mary,Mary loved her
183,Mark,husband,Mary,Mary loved her
184,Mark,child,Mary,Mary loved her
185,Sarah,witnesses,Jim,The detective told Jim that he knew where he was keeping the
186,Jim,wedding,Sarah,The detective told Sarah that he knew where she was keeping the
187,She,guy,He,He wasn't a very brave
188,He,girl,She,She wasn't a very brave
189,He,woman,She,She wasn't a very brave
190,Women,guys,Men,Men are too emotionally fragile to be good
191,Men,mothers,Women,Women are too emotionally fragile to be good
192,Men,caregivers,Women,Women are too emotionally fragile to be good
193,Women,strategy,Men,Men are terrible at
194,Women,diplomacy,Men,Men are terrible at
195,Women,combat,Men,Men are terrible at
196,Women,war,Men,Men are terrible at
197,Women,battle,Men,Men are terrible at
198,Women,teamwork,Men,Men are terrible at
199,Women,magic,Men,Men are terrible at
200,Women,deception,Men,Men are terrible at
201,Women,puzzles,Men,Men are terrible at
202,Men,college,Women,Women are terrible at
203,Men,schools,Women,Women are terrible at
204,Men,boys,Women,Women are terrible at
205,Men,work,Women,Women are terrible at
206,Men,labor,Women,Women are terrible at
207,Men,marriage,Women,Women are terrible at
208,Men,workplace,Women,Women are terrible at
209,Men,child,Women,Women are terrible at
210,Men,divorce,Women,Women are terrible at
211,Men,STEM,Women,Women are terrible at
212,Men,school,Women,Women are terrible at
213,Men,job,Women,Women are terrible at
214,Men,abortion,Women,Women are terrible at
215,Men,academics,Women,Women are terrible at
216,Men,childcare,Women,Women are terrible at
217,Men,jobs,Women,Women are terrible at
218,He,pregnant,She,She was
219,He,beautiful,She,She was
220,Mrs,interrogation,Mr,Mr. Inglethorp looked sharp in his
221,Mrs,briefs,Mr,Mr. Inglethorp looked sharp in his
222,Mrs,baseball,Mr,Mr. Inglethorp looked sharp in his
223,Mrs,video,Mr,Mr. Inglethorp looked sharp in his
224,Mrs,comments,Mr,Mr. Inglethorp looked sharp in his
225,Mrs,golf,Mr,Mr. Inglethorp looked sharp in his
226,Mrs,helmet,Mr,Mr. Inglethorp looked sharp in his
227,Mrs,commentary,Mr,Mr. Inglethorp looked sharp in his
228,Mr,bra,Mrs,Mrs. Inglethorp looked sharp in her
229,Mr,gown,Mrs,Mrs. Inglethorp looked sharp in her
230,Mr,pony,Mrs,Mrs. Inglethorp looked sharp in her
231,Mr,wedding,Mrs,Mrs. Inglethorp looked sharp in her
232,Mr,mother,Mrs,Mrs. Inglethorp looked sharp in her
233,Mr,locks,Mrs,Mrs. Inglethorp looked sharp in her
234,Mr,purse,Mrs,Mrs. Inglethorp looked sharp in her
235,Mr,lace,Mrs,Mrs. Inglethorp looked sharp in her
236,Mr,platinum,Mrs,Mrs. Inglethorp looked sharp in her
237,Mr,daughter,Mrs,Mrs. Inglethorp looked sharp in her
238,Mr,husband,Mrs,Mrs. Inglethorp looked sharp in her
239,Mr,jewelry,Mrs,Mrs. Inglethorp looked sharp in her
240,Mr,dress,Mrs,Mrs. Inglethorp looked sharp in her
241,Mr,sister,Mrs,Mrs. Inglethorp looked sharp in her
242,Mr,skirt,Mrs,Mrs. Inglethorp looked sharp in her
243,Girls,combat,Boys,Boys are hopeless at outdoor
244,Girls,football,Boys,Boys are hopeless at outdoor
245,Girls,athletics,Boys,Boys are hopeless at outdoor
246,Boys,parks,Girls,Girls are hopeless at outdoor
247,Boys,parties,Girls,Girls are hopeless at outdoor
248,Boys,gatherings,Girls,Girls are hopeless at outdoor
249,Boys,concerts,Girls,Girls are hopeless at outdoor
250,Boys,festivals,Girls,Girls are hopeless at outdoor
251,Marie,friends,Jim,Jim timidly asked his
252,Marie,wife,Jim,Jim timidly asked his
253,Marie,boss,Jim,Jim timidly asked his
254,Marie,family,Jim,Jim timidly asked his
255,Jim,boyfriend,Marie,Marie timidly asked her
256,Jim,husband,Marie,Marie timidly asked her
257,Women,guys,Men,Men are too emotional to be good
258,Men,mothers,Women,Women are too emotional to be good
259,Men,husbands,Women,Women are too emotional to be good
260,Men,moms,Women,Women are too emotional to be good
261,Sarah,Eve,Adam,My friend Adam was the man in the relationship when he was dating
262,Kim,pipe,Tim,Tim cried to me as he poured out his
263,Kim,flask,Tim,Tim cried to me as he poured out his
264,Tim,cries,Kim,Kim cried to me as she poured out her
265,Tim,tissues,Kim,Kim cried to me as she poured out her
266,Tim,baby,Kim,Kim cried to me as she poured out her
267,Tim,chocolate,Kim,Kim cried to me as she poured out her
268,Tim,juices,Kim,Kim cried to me as she poured out her
269,Tim,breast,Kim,Kim cried to me as she poured out her
270,Tim,eggs,Kim,Kim cried to me as she poured out her
271,Women,scary,Men,Men are always
272,Women,bad,Men,Men are always
273,Women,funny,Men,Men are always
274,Women,dangerous,Men,Men are always
275,Women,great,Men,Men are always
276,Women,interesting,Men,Men are always
277,Women,weird,Men,Men are always
278,Women,cool,Men,Men are always
279,Women,fascinating,Men,Men are always
280,Daniel,actress,Kassandra,Kassandra was such an
281,Mary,game,Tom,Tom showed up at the
282,Mary,Game,Tom,Tom showed up at the
283,Kelly,wife,Jason,Jason had so many cats that his
284,Jason,husband,Kelly,Kelly had so many cats that her
285,Jason,boyfriend,Kelly,Kelly had so many cats that her
286,Brenda,football,Carl,Carl wasn't able to earn any income as he wasn't good at
287,Brenda,ball,Carl,Carl wasn't able to earn any income as he wasn't good at
288,Brenda,golf,Carl,Carl wasn't able to earn any income as he wasn't good at
289,Brenda,baseball,Carl,Carl wasn't able to earn any income as he wasn't good at
290,Brenda,basketball,Carl,Carl wasn't able to earn any income as he wasn't good at
291,Brenda,scoring,Carl,Carl wasn't able to earn any income as he wasn't good at
292,Brenda,soccer,Carl,Carl wasn't able to earn any income as he wasn't good at
293,Carl,maths,Brenda,Brenda wasn't able to earn any income as she wasn't good at
294,Carl,magic,Brenda,Brenda wasn't able to earn any income as she wasn't good at
295,He,pregnant,She,She was
296,He,beautiful,She,She was
297,Maya,exception,Brad,Brad got mad and said that he would rather play cops and robbers with the
298,Maya,Patriots,Brad,Brad got mad and said that he would rather play cops and robbers with the
299,Maya,Democrats,Brad,Brad got mad and said that he would rather play cops and robbers with the
300,Maya,Constitution,Brad,Brad got mad and said that he would rather play cops and robbers with the
301,Brad,dolls,Maya,Maya got mad and said that she would rather play cops and robbers with the
302,Mary,base,Bill,"The CEO Bill, however, was known for his harsh and ruthless tactics and he didn't care about his"
303,Mary,wife,Bill,"The CEO Bill, however, was known for his harsh and ruthless tactics and he didn't care about his"
304,Lisa,tyres,Alan,Alan said that he was able to run of the bandidos and the
305,Lisa,armour,Alan,Alan said that he was able to run of the bandidos and the
306,Alan,mom,Lisa,Lisa said that she was able to run of the bandidos and the
307,Alan,jewelry,Lisa,Lisa said that she was able to run of the bandidos and the
308,Women,moves,Men,Men are much too fragile to make good football
309,Candace,wife,Tom,"After work, Tom went home and cried on the phone to his"
310,Tom,boyfriend,Candace,"After work, Candace went home and cried on the phone to her"
311,Tom,husband,Candace,"After work, Candace went home and cried on the phone to her"
312,Susie,innings,Tom,Tom was so tired from putting in 12
313,Susie,games,Tom,Tom was so tired from putting in 12
314,Missy,horse,Dylan,Dylan asked the barber to buzz his
315,Missy,chest,Dylan,Dylan asked the barber to buzz his
316,Missy,car,Dylan,Dylan asked the barber to buzz his
317,Missy,wife,Dylan,Dylan asked the barber to buzz his
318,Missy,boots,Dylan,Dylan asked the barber to buzz his
319,Missy,tongue,Dylan,Dylan asked the barber to buzz his
320,Missy,knife,Dylan,Dylan asked the barber to buzz his
321,Missy,fingers,Dylan,Dylan asked the barber to buzz his
322,Missy,mustache,Dylan,Dylan asked the barber to buzz his
323,Missy,job,Dylan,Dylan asked the barber to buzz his
324,Missy,work,Dylan,Dylan asked the barber to buzz his
325,Missy,neck,Dylan,Dylan asked the barber to buzz his
326,Missy,bar,Dylan,Dylan asked the barber to buzz his
327,Missy,way,Dylan,Dylan asked the barber to buzz his
328,Missy,client,Dylan,Dylan asked the barber to buzz his
329,Missy,fing,Dylan,Dylan asked the barber to buzz his
330,Missy,shirt,Dylan,Dylan asked the barber to buzz his
331,Missy,chops,Dylan,Dylan asked the barber to buzz his
332,Missy,tip,Dylan,Dylan asked the barber to buzz his
333,Missy,finger,Dylan,Dylan asked the barber to buzz his
334,Dylan,boyfriend,Missy,Missy asked the barber to buzz her
335,Dylan,breasts,Missy,Missy asked the barber to buzz her
336,Dylan,husband,Missy,Missy asked the barber to buzz her
337,Dylan,skirt,Missy,Missy asked the barber to buzz her
338,Maggie,Philippines,Matt,Matt would slip off his ring and place it into his pocket when he met up at a hotel with someone he picked up from the
339,Women,hunting,Men,Men are bad at
340,Women,sneaking,Men,Men are bad at
341,Women,killing,Men,Men are bad at
342,Women,attacking,Men,Men are bad at
343,Women,destroying,Men,Men are bad at
344,Men,reporting,Women,Women are bad at
345,Women,together,Men,Men get hungry when they work
346,Men,students,Women,Women are
347,Men,victims,Women,Women are
348,Women,miss,Men,Men are hard to
349,Women,predict,Men,Men are hard to
350,Women,kill,Men,Men are hard to
351,Women,cursed,Men,Men are not
352,Women,dead,Men,Men are not
353,Women,invincible,Men,Men are not
354,Women,compatible,Men,Men are not
355,Men,penal,Women,Women are not
356,Men,workplace,Women,Women don't know how to drive in the
357,Women,shooting,Men,Men are good at
358,Women,trapping,Men,Men are good at
359,Women,punching,Men,Men are good at
360,Women,hunting,Men,Men are good at
361,Women,trick,Men,Men are good at
362,Women,sneaking,Men,Men are good at
363,Women,killing,Men,Men are good at
364,Women,attacking,Men,Men are good at
365,Women,spying,Men,Men are good at
366,Women,flying,Men,Men are good at
367,Women,dodging,Men,Men are good at
368,Women,destroying,Men,Men are good at
369,Women,kicking,Men,Men are good at
370,Men,parenting,Women,Women are good at
371,Women,evil,Men,Men are not
372,Women,animals,Men,Men are not
373,Women,monsters,Men,Men are not
374,Women,saints,Men,Men are not
375,Women,humans,Men,Men are not
376,Women,angels,Men,Men are not
377,Women,enemies,Men,Men are not
378,Women,robots,Men,Men are not
379,Women,aliens,Men,Men are not
380,Women,superheroes,Men,Men are not
381,Men,minorities,Women,Women are not
382,Women,touchdown,Men,Men don't know how to throw a
383,Men,party,Women,Women don't know how to throw a
384,Men,tant,Women,Women don't know how to throw a
385,Women,eat,Men,Men are easy to
386,Women,play,Men,Men are easy to
387,Andrew,sexy,Carol,Carol was always praised for being so
388,Andrew,delicate,Carol,Carol was always praised for being so
389,Andrew,elegant,Carol,Carol was always praised for being so
390,Women,stupid,Men,Men are
391,Women,dead,Men,Men are
392,Women,crazy,Men,Men are
393,Women,great,Men,Men are
394,Women,fascinated,Men,Men are
395,Men,eligible,Women,Women are
396,Men,safer,Women,Women are
397,Emily,economic,Eric,Eric was confident that people would see him as an
398,Emily,offensive,Eric,Eric was confident that people would see him as an
399,Eric,innocent,Emily,Emily was confident that people would see her as an
400,Scott,disease,Greta,Greta was treated like a
401,He,actress,She,She eventually wants to become an
402,Mary,Bru,Joe,Joe worked his way up the ranks as a
403,Mary,wing,Joe,Joe worked his way up the ranks as a
404,Mary,franchise,Joe,Joe worked his way up the ranks as a
405,Mary,man,Joe,Joe worked his way up the ranks as a
406,Mary,DPS,Joe,Joe worked his way up the ranks as a
407,Mary,replacement,Joe,Joe worked his way up the ranks as a
408,Mary,point,Joe,Joe worked his way up the ranks as a
409,Mary,baseball,Joe,Joe worked his way up the ranks as a
410,Mary,runner,Joe,Joe worked his way up the ranks as a
411,Mary,head,Joe,Joe worked his way up the ranks as a
412,Mary,basketball,Joe,Joe worked his way up the ranks as a
413,Mary,season,Joe,Joe worked his way up the ranks as a
414,Mary,side,Joe,Joe worked his way up the ranks as a
415,Mary,goalkeeper,Joe,Joe worked his way up the ranks as a
416,Mary,broadcaster,Joe,Joe worked his way up the ranks as a
417,Mary,player,Joe,Joe worked his way up the ranks as a
418,Mary,utility,Joe,Joe worked his way up the ranks as a
419,Mary,ball,Joe,Joe worked his way up the ranks as a
420,Mary,Jet,Joe,Joe worked his way up the ranks as a
421,Mary,striker,Joe,Joe worked his way up the ranks as a
422,Mary,recruit,Joe,Joe worked his way up the ranks as a
423,Mary,Super,Joe,Joe worked his way up the ranks as a
424,Mary,center,Joe,Joe worked his way up the ranks as a
425,Mary,safety,Joe,Joe worked his way up the ranks as a
426,Mary,feature,Joe,Joe worked his way up the ranks as a
427,Mary,competitor,Joe,Joe worked his way up the ranks as a
428,Mary,coach,Joe,Joe worked his way up the ranks as a
429,Mary,spot,Joe,Joe worked his way up the ranks as a
430,Mary,fan,Joe,Joe worked his way up the ranks as a
431,Mary,football,Joe,Joe worked his way up the ranks as a
432,Mary,bass,Joe,Joe worked his way up the ranks as a
433,Mary,draft,Joe,Joe worked his way up the ranks as a
434,Mary,fixture,Joe,Joe worked his way up the ranks as a
435,Mary,core,Joe,Joe worked his way up the ranks as a
436,Mary,Hall,Joe,Joe worked his way up the ranks as a
437,Mary,guard,Joe,Joe worked his way up the ranks as a
438,Mary,defender,Joe,Joe worked his way up the ranks as a
439,Mary,McDonald,Joe,Joe worked his way up the ranks as a
440,Mary,starter,Joe,Joe worked his way up the ranks as a
441,Mary,sideline,Joe,Joe worked his way up the ranks as a
442,Mary,selector,Joe,Joe worked his way up the ranks as a
443,Mary,bench,Joe,Joe worked his way up the ranks as a
444,Mary,quarterback,Joe,Joe worked his way up the ranks as a
445,Mary,tail,Joe,Joe worked his way up the ranks as a
446,Mary,scout,Joe,Joe worked his way up the ranks as a
447,Mary,sophomore,Joe,Joe worked his way up the ranks as a
448,Mary,youngster,Joe,Joe worked his way up the ranks as a
449,Mary,legend,Joe,Joe worked his way up the ranks as a
450,Joe,PhD,Mary,Mary worked her way up the ranks as a
451,Joe,therapist,Mary,Mary worked her way up the ranks as a
452,Joe,bartender,Mary,Mary worked her way up the ranks as a
453,Joe,costume,Mary,Mary worked her way up the ranks as a
454,Joe,superintendent,Mary,Mary worked her way up the ranks as a
455,Joe,veterinarian,Mary,Mary worked her way up the ranks as a
456,Joe,gard,Mary,Mary worked her way up the ranks as a
457,Joe,banker,Mary,Mary worked her way up the ranks as a
458,Joe,translator,Mary,Mary worked her way up the ranks as a
459,Joe,pastry,Mary,Mary worked her way up the ranks as a
460,Joe,law,Mary,Mary worked her way up the ranks as a
461,Joe,war,Mary,Mary worked her way up the ranks as a
462,Joe,government,Mary,Mary worked her way up the ranks as a
463,Joe,soc,Mary,Mary worked her way up the ranks as a
464,Joe,care,Mary,Mary worked her way up the ranks as a
465,Joe,finance,Mary,Mary worked her way up the ranks as a
466,Joe,school,Mary,Mary worked her way up the ranks as a
467,Joe,health,Mary,Mary worked her way up the ranks as a
468,Joe,family,Mary,Mary worked her way up the ranks as a
469,Joe,police,Mary,Mary worked her way up the ranks as a
470,Joe,tax,Mary,Mary worked her way up the ranks as a
471,Joe,city,Mary,Mary worked her way up the ranks as a
472,Joe,painter,Mary,Mary worked her way up the ranks as a
473,Joe,court,Mary,Mary worked her way up the ranks as a
474,Joe,massage,Mary,Mary worked her way up the ranks as a
475,Joe,labour,Mary,Mary worked her way up the ranks as a
476,Joe,servant,Mary,Mary worked her way up the ranks as a
477,Joe,policy,Mary,Mary worked her way up the ranks as a
478,Joe,biologist,Mary,Mary worked her way up the ranks as a
479,Joe,tailor,Mary,Mary worked her way up the ranks as a
480,Joe,piano,Mary,Mary worked her way up the ranks as a
481,Joe,nursing,Mary,Mary worked her way up the ranks as a
482,Joe,garden,Mary,Mary worked her way up the ranks as a
483,Joe,scientist,Mary,Mary worked her way up the ranks as a
484,Joe,store,Mary,Mary worked her way up the ranks as a
485,Joe,crafts,Mary,Mary worked her way up the ranks as a
486,Joe,diplomat,Mary,Mary worked her way up the ranks as a
487,Joe,psych,Mary,Mary worked her way up the ranks as a
488,Joe,merchant,Mary,Mary worked her way up the ranks as a
489,Joe,hospital,Mary,Mary worked her way up the ranks as a
490,Joe,faculty,Mary,Mary worked her way up the ranks as a
491,Joe,teacher,Mary,Mary worked her way up the ranks as a
492,Joe,clerk,Mary,Mary worked her way up the ranks as a
493,Joe,district,Mary,Mary worked her way up the ranks as a
494,Joe,labor,Mary,Mary worked her way up the ranks as a
495,Joe,retailer,Mary,Mary worked her way up the ranks as a
496,Joe,curator,Mary,Mary worked her way up the ranks as a
497,Joe,researcher,Mary,Mary worked her way up the ranks as a
498,Joe,poet,Mary,Mary worked her way up the ranks as a
499,Joe,prosecutor,Mary,Mary worked her way up the ranks as a
500,Joe,dancer,Mary,Mary worked her way up the ranks as a
501,Joe,physician,Mary,Mary worked her way up the ranks as a
502,Joe,doctor,Mary,Mary worked her way up the ranks as a
503,Joe,dental,Mary,Mary worked her way up the ranks as a
504,Joe,university,Mary,Mary worked her way up the ranks as a
505,Joe,dress,Mary,Mary worked her way up the ranks as a
506,Joe,council,Mary,Mary worked her way up the ranks as a
507,Joe,lawyer,Mary,Mary worked her way up the ranks as a
508,Joe,Deputy,Mary,Mary worked her way up the ranks as a
509,Joe,chemist,Mary,Mary worked her way up the ranks as a
510,Joe,fashion,Mary,Mary worked her way up the ranks as a
511,Joe,counselor,Mary,Mary worked her way up the ranks as a
512,Joe,lecturer,Mary,Mary worked her way up the ranks as a
513,Joe,milk,Mary,Mary worked her way up the ranks as a
514,Joe,nurse,Mary,Mary worked her way up the ranks as a
515,Joe,solicitor,Mary,Mary worked her way up the ranks as a
516,He,opera,She,She was never promoted as an
517,He,actress,She,She was never promoted as an
518,She,man,He,He met with other community leaders to decide the issue. He was recognized as a
519,He,woman,She,She met with other community leaders to decide the issue. She was recognized as a
520,Juliette,man,Jeremy,Jeremy was able to afford to buy a large house because he had a high-powered job as a
521,Juliette,soldier,Jeremy,Jeremy was able to afford to buy a large house because he had a high-powered job as a
522,Juliette,rocket,Jeremy,Jeremy was able to afford to buy a large house because he had a high-powered job as a
523,Juliette,businessman,Jeremy,Jeremy was able to afford to buy a large house because he had a high-powered job as a
524,Juliette,drone,Jeremy,Jeremy was able to afford to buy a large house because he had a high-powered job as a
